Hotel_ID,Hotel_Name,City,Province,Latitude,Longitude,Year,Month,Avg_Occupancy_%,Room_Rate_PKR,Total_Rooms,Rooms_Booked,Customer_Type,Booking_Source,Staff_Count,Amenities_Count,Customer_Rating,Total_Revenue,Foreign_Visitors,Local_Visitors
HTL0013,Faletti's_13,Lahore,Islamabad Capital Territory,33.0197,69.4748,2023,12,27.8,11039,54,15,Business,Booking.com,130,16,3.0,165585,6,9
HTL0014,Marriott_14,Peshawar,KPK,28.3956,72.2196,2023,12,76.0,19756,196,149,Tour Group,Website,65,20,4.6,2943644,131,18
HTL0015,Serena_15,Lahore,Sindh,29.875,64.6083,2025,7,54.3,24124,184,100,Individual,Travel Agency,32,5,2.6,2412400,93,7
HTL0016,Beach Luxury_16,Islamabad,Islamabad Capital Territory,24.8268,71.3603,2023,11,76.6,20169,171,131,Family,Airbnb,88,7,4.3,2642139,86,45
HTL0017,Pearl Continental_17,Peshawar,Sindh,30.0733,62.3719,2021,12,98.5,9824,137,135,Individual,Booking.com,95,21,3.3,1326240,74,61
HTL0018,Beach Luxury_18,Islamabad,Islamabad Capital Territory,32.154,63.7987,2024,10,34.9,7701,146,51,Business,Airbnb,133,25,3.0,392751,14,37
HTL0019,Pearl Continental_19,Multan,Sindh,26.7874,65.3767,2020,6,98.8,23030,252,249,Individual,Walk-in,71,9,4.1,5734470,80,169
HTL0020,Ramada_20,Islamabad,KPK,31.2234,61.587,2024,5,92.9,18446,42,39,Family,Airbnb,77,18,4.8,719394,24,15
HTL0021,Ramada_21,Multan,Balochistan,34.3641,65.9182,2022,5,15.8,13080,146,23,Business,Airbnb,143,18,3.1,300840,13,10
HTL0022,Beach Luxury_22,Faisalabad,Islamabad Capital Territory,32.1503,67.7645,2023,9,53.0,18987,219,116,Tour Group,Website,130,6,3.1,2202492,3,113
HTL0023,Ramada_23,Rawalpindi,Balochistan,29.2076,67.709,2021,4,40.8,19269,147,60,Business,Website,12,6,3.6,1156140,14,46
HTL0024,Avari_24,Lahore,Sindh,24.2571,73.9688,2022,11,40.1,7672,202,81,Tour Group,Booking.com,89,13,3.5,621432,10,71
HTL0025,Faletti's_25,Quetta,Balochistan,26.3048,74.7871,2021,6,25.6,20387,172,44,Family,Walk-in,93,21,3.8,897028,32,12
HTL0026,Serena_26,Multan,Balochistan,35.8084,65.6134,2025,12,40.1,4454,137,55,Individual,Travel Agency,88,7,4.1,244970,50,5
HTL0027,Pearl Continental_27,Peshawar,Islamabad Capital Territory,35.5678,68.9783,2025,12,72.2,23454,90,65,Individual,Booking.com,108,11,4.5,1524510,8,57
HTL0028,Beach Luxury_28,Quetta,Punjab,25.4783,73.3999,2020,8,36.0,8333,139,50,Business,Walk-in,48,18,4.8,416650,44,6
HTL0029,Faletti's_29,Karachi,Sindh,36.9643,68.9308,2025,7,38.5,12089,65,25,Business,Airbnb,113,26,3.1,302225,18,7
HTL0030,Ramada_30,Quetta,Balochistan,35.264,60.3772,2024,7,30.2,23835,278,84,Business,Website,77,24,2.7,2002140,71,13
HTL0031,Marriott_31,Islamabad,Islamabad Capital Territory,31.5758,65.5681,2025,6,43.3,10583,284,123,Family,Airbnb,57,8,5.0,1301709,13,110
HTL0032,Pearl Continental_32,Quetta,Sindh,32.928,65.1753,2025,2,25.8,11410,295,76,Tour Group,Airbnb,22,26,2.9,867160,19,57
HTL0033,Ramada_33,Lahore,Sindh,31.5107,67.7836,2022,9,19.7,9584,289,57,Business,Booking.com,12,12,3.9,546288,9,48
HTL0034,Beach Luxury_34,Lahore,Punjab,33.6573,67.4216,2020,2,32.9,12624,70,23,Business,Website,50,22,4.2,290352,22,1
HTL0035,Avari_35,Faisalabad,Sindh,35.4743,61.5552,2023,12,11.6,14392,224,26,Business,Booking.com,85,16,3.8,374192,13,13
HTL0036,Pearl Continental_36,Rawalpindi,Balochistan,29.3051,67.7337,2025,8,44.7,4806,188,84,Family,Booking.com,115,24,4.5,403704,71,13
HTL0037,Hotel One_37,Islamabad,Punjab,24.3577,60.9902,2024,5,73.3,18167,187,137,Tour Group,Walk-in,85,6,4.9,2488879,124,13
HTL0038,Marriott_38,Faisalabad,Islamabad Capital Territory,28.897,68.3283,2022,1,8.9,16343,79,7,Business,Website,66,19,4.6,114401,5,2
HTL0039,Faletti's_39,Multan,Balochistan,26.4911,60.5415,2024,6,73.2,6298,123,90,Individual,Walk-in,113,13,3.8,566820,42,48
HTL0040,Avari_40,Peshawar,KPK,25.4798,67.8565,2020,10,77.6,6462,125,97,Business,Booking.com,68,23,2.9,626814,58,39
HTL0041,Beach Luxury_41,Multan,KPK,26.0463,72.9719,2024,10,11.6,5100,199,23,Business,Booking.com,21,10,4.4,117300,5,18
HTL0042,Faletti's_42,Faisalabad,Islamabad Capital Territory,32.4664,63.6138,2023,6,52.6,15107,192,101,Business,Website,118,10,3.5,1525807,69,32
HTL0043,Beach Luxury_43,Quetta,Sindh,29.4781,68.7898,2023,1,31.7,8765,142,45,Tour Group,Website,80,14,4.6,394425,35,10
HTL0044,Serena_44,Islamabad,KPK,27.5216,67.3989,2022,9,88.5,7087,165,146,Family,Website,12,25,3.4,1034702,66,80
HTL0045,Hotel One_45,Quetta,KPK,31.5032,72.4661,2025,7,53.8,4744,173,93,Tour Group,Travel Agency,83,20,2.6,441192,64,29
HTL0046,Hotel One_46,Faisalabad,Balochistan,30.9992,70.7667,2021,8,69.0,10747,58,40,Individual,Website,42,22,2.7,429880,31,9
HTL0047,Faletti's_47,Lahore,KPK,31.36,70.8139,2024,3,13.2,20406,144,19,Business,Walk-in,65,18,3.3,387714,1,18
HTL0048,Avari_48,Islamabad,Sindh,34.5296,65.7339,2021,1,22.5,14266,120,27,Tour Group,Travel Agency,126,16,2.5,385182,8,19
HTL0049,Beach Luxury_49,Quetta,Punjab,35.7486,69.9484,2021,6,12.9,14133,264,34,Individual,Website,26,20,4.6,480522,2,32
HTL0050,Serena_50,Quetta,Balochistan,28.9889,68.7292,2020,3,69.4,7897,49,34,Business,Airbnb,90,21,2.7,268498,1,33
HTL0051,Beach Luxury_51,Rawalpindi,Punjab,27.0634,66.91,2021,9,55.6,12923,72,40,Family,Walk-in,133,9,2.8,516920,37,3
HTL0052,Serena_52,Rawalpindi,Balochistan,27.3706,60.4286,2020,8,44.4,23130,72,32,Tour Group,Travel Agency,85,20,3.8,740160,23,9
HTL0053,Avari_53,Lahore,Sindh,34.4988,67.3761,2024,3,88.5,12974,87,77,Family,Walk-in,80,20,3.6,998998,34,43
HTL0054,Ramada_54,Quetta,Islamabad Capital Territory,27.8746,74.8657,2025,10,79.5,4987,44,35,Individual,Travel Agency,22,11,3.1,174545,17,18
HTL0055,Beach Luxury_55,Quetta,KPK,27.6253,67.2149,2022,11,63.9,15684,72,46,Tour Group,Website,15,15,3.7,721464,29,17
HTL0056,Serena_56,Multan,Sindh,35.186,72.6599,2020,8,78.4,15692,171,134,Individual,Airbnb,113,20,2.6,2102728,83,51
HTL0057,Pearl Continental_57,Multan,Islamabad Capital Territory,34.124,62.3018,2020,6,18.8,20209,80,15,Individual,Travel Agency,129,14,2.5,303135,11,4
HTL0058,Hotel One_58,Lahore,Sindh,26.2951,72.0727,2025,3,68.6,11924,51,35,Family,Travel Agency,103,26,4.4,417340,26,9
HTL0059,Avari_59,Multan,KPK,36.8883,62.1962,2025,12,69.3,3361,212,147,Business,Travel Agency,31,9,5.0,494067,56,91
HTL0060,Avari_60,Quetta,Islamabad Capital Territory,29.4993,63.2516,2020,9,71.0,14433,62,44,Tour Group,Booking.com,41,23,3.3,635052,1,43
HTL0061,Faletti's_61,Islamabad,Sindh,25.2353,69.7968,2023,8,98.8,18785,242,239,Business,Booking.com,27,21,3.2,4489615,0,239
HTL0062,Faletti's_62,Quetta,Punjab,35.3924,65.6297,2022,8,86.7,16870,150,130,Tour Group,Travel Agency,150,23,3.1,2193100,43,87
HTL0063,Marriott_63,Lahore,KPK,32.1063,64.7039,2021,4,85.6,15227,285,244,Family,Airbnb,136,13,2.6,3715388,26,218
HTL0064,Avari_64,Karachi,Punjab,32.5792,64.1704,2023,11,40.9,3960,252,103,Family,Airbnb,96,28,2.6,407880,3,100
HTL0065,Beach Luxury_65,Quetta,KPK,29.3019,74.4413,2025,11,63.1,13202,130,82,Family,Travel Agency,112,27,3.0,1082564,4,78
HTL0066,Beach Luxury_66,Quetta,Balochistan,34.3741,72.5446,2022,6,33.5,5612,224,75,Family,Travel Agency,42,28,4.6,420900,16,59
HTL0067,Serena_67,Islamabad,Balochistan,36.0007,71.4659,2023,3,49.4,14646,79,39,Individual,Travel Agency,130,5,4.7,571194,4,35
HTL0068,Hotel One_68,Peshawar,KPK,24.5708,69.3092,2021,12,95.7,6154,162,155,Family,Booking.com,60,13,4.4,953870,59,96
HTL0069,Avari_69,Islamabad,Sindh,30.8039,70.4393,2024,1,57.5,22554,280,161,Individual,Booking.com,114,28,3.8,3631194,46,115
HTL0070,Faletti's_70,Lahore,Balochistan,32.2523,73.1937,2023,7,33.8,16545,201,68,Tour Group,Booking.com,74,21,3.7,1125060,29,39
HTL0071,Faletti's_71,Peshawar,Sindh,26.9541,72.7753,2023,6,38.3,3624,266,102,Business,Walk-in,31,16,4.7,369648,90,12
HTL0072,Avari_72,Lahore,Punjab,30.0927,73.6912,2022,4,40.3,3469,181,73,Individual,Booking.com,119,18,2.5,253237,65,8
HTL0073,Avari_73,Rawalpindi,Sindh,29.8782,68.8337,2022,9,46.5,22035,260,121,Individual,Airbnb,53,15,3.0,2666235,17,104
HTL0074,Serena_74,Lahore,Balochistan,30.6762,70.2406,2024,9,69.3,9442,150,104,Family,Website,101,27,4.4,981968,24,80
HTL0075,Ramada_75,Peshawar,Punjab,30.4131,71.1266,2024,9,36.4,10967,77,28,Individual,Travel Agency,82,24,4.8,307076,8,20
HTL0076,Pearl Continental_76,Faisalabad,Islamabad Capital Territory,29.8663,70.7369,2020,5,30.2,12563,53,16,Business,Booking.com,140,9,3.3,201008,10,6
HTL0077,Avari_77,Multan,KPK,25.308,70.0317,2022,9,48.8,5705,41,20,Individual,Travel Agency,145,29,4.4,114100,11,9
HTL0078,Marriott_78,Faisalabad,KPK,34.3876,72.0628,2020,2,16.0,23870,100,16,Family,Walk-in,56,21,4.8,381920,1,15
HTL0079,Faletti's_79,Peshawar,Balochistan,28.1371,67.7161,2022,9,58.4,5264,226,132,Business,Booking.com,132,22,4.5,694848,75,57
HTL0080,Faletti's_80,Karachi,Islamabad Capital Territory,30.3763,68.9775,2023,5,15.6,18427,256,40,Individual,Booking.com,25,22,4.1,737080,37,3
HTL0081,Hotel One_81,Quetta,Sindh,26.9359,71.2157,2023,3,6.9,22847,102,7,Tour Group,Website,80,17,3.0,159929,4,3
HTL0082,Pearl Continental_82,Lahore,KPK,25.5865,72.0869,2024,3,55.4,17246,202,112,Individual,Website,16,11,2.6,1931552,35,77
HTL0083,Faletti's_83,Quetta,Balochistan,27.3779,66.0486,2023,7,13.5,14087,289,39,Tour Group,Website,76,12,3.7,549393,34,5
HTL0084,Serena_84,Quetta,Punjab,26.6743,62.3989,2021,5,91.9,21262,211,194,Family,Booking.com,131,11,3.8,4124828,65,129
HTL0085,Faletti's_85,Lahore,Punjab,28.1944,72.883,2023,12,98.8,20162,83,82,Individual,Airbnb,139,16,3.8,1653284,29,53
HTL0086,Beach Luxury_86,Karachi,Balochistan,24.9141,72.9485,2025,5,10.9,20609,293,32,Family,Airbnb,86,11,2.6,659488,1,31
HTL0087,Serena_87,Quetta,Islamabad Capital Territory,24.003,66.5832,2025,6,18.4,12126,228,42,Business,Booking.com,88,16,3.1,509292,3,39
HTL0088,Ramada_88,Karachi,Balochistan,24.1235,60.0066,2023,11,54.2,4406,59,32,Business,Travel Agency,98,6,2.9,140992,20,12
HTL0089,Hotel One_89,Faisalabad,Punjab,24.6254,74.9858,2024,12,37.2,22021,43,16,Business,Airbnb,112,7,4.9,352336,2,14
HTL0090,Avari_90,Quetta,Sindh,36.2623,65.4954,2023,3,67.8,18725,202,137,Tour Group,Website,146,21,4.9,2565325,131,6
HTL0091,Ramada_91,Lahore,KPK,25.0731,71.0439,2021,2,47.0,16959,115,54,Family,Travel Agency,30,8,4.1,915786,6,48
HTL0092,Faletti's_92,Lahore,KPK,25.4364,63.0356,2022,10,77.9,7537,208,162,Business,Travel Agency,22,28,3.0,1220994,125,37
HTL0093,Pearl Continental_93,Quetta,Islamabad Capital Territory,24.468,71.9782,2020,10,91.8,8784,171,157,Business,Travel Agency,18,13,4.9,1379088,17,140
HTL0094,Ramada_94,Peshawar,KPK,34.5604,70.5994,2025,12,99.1,6960,115,114,Tour Group,Airbnb,48,11,2.9,793440,51,63
HTL0095,Beach Luxury_95,Peshawar,Sindh,24.3382,71.6673,2024,3,90.8,10498,142,129,Tour Group,Website,78,9,4.3,1354242,43,86
HTL0096,Marriott_96,Multan,Islamabad Capital Territory,25.1894,64.1296,2023,12,68.2,5600,239,163,Tour Group,Travel Agency,138,11,2.6,912800,135,28
HTL0097,Beach Luxury_97,Peshawar,Punjab,28.6991,67.7205,2021,2,42.4,23346,92,39,Business,Website,124,15,4.6,910494,3,36
HTL0098,Serena_98,Multan,Sindh,25.1412,74.9735,2020,5,29.1,16978,182,53,Individual,Travel Agency,145,20,3.2,899834,20,33
HTL0099,Pearl Continental_99,Peshawar,Islamabad Capital Territory,25.5904,74.0571,2025,9,53.8,12436,182,98,Business,Airbnb,35,13,3.4,1218728,9,89
HTL0100,Avari_100,Lahore,KPK,26.7019,68.9485,2023,7,11.5,4997,191,22,Family,Booking.com,141,22,4.9,109934,18,4
HTL0101,Faletti's_101,Quetta,Balochistan,35.4543,60.9194,2025,9,30.2,18705,86,26,Individual,Booking.com,29,5,2.8,486330,4,22
HTL0102,Avari_102,Quetta,Balochistan,24.2069,68.3181,2024,10,29.1,10382,79,23,Business,Booking.com,27,22,2.7,238786,23,0
HTL0103,Avari_103,Islamabad,Sindh,30.6907,69.9131,2022,11,96.9,14445,96,93,Tour Group,Website,126,13,3.1,1343385,19,74
HTL0104,Faletti's_104,Peshawar,KPK,30.0681,74.2044,2022,11,89.0,10682,145,129,Business,Website,126,5,3.7,1377978,4,125
HTL0105,Marriott_105,Rawalpindi,Balochistan,26.6411,64.1661,2024,9,27.3,14506,110,30,Business,Airbnb,122,13,4.5,435180,19,11
HTL0106,Pearl Continental_106,Rawalpindi,Islamabad Capital Territory,36.7893,64.0151,2024,7,84.8,24603,270,229,Business,Walk-in,33,18,3.9,5634087,177,52
HTL0107,Beach Luxury_107,Karachi,Islamabad Capital Territory,28.0954,64.5942,2022,12,17.2,17803,163,28,Family,Travel Agency,94,20,4.5,498484,21,7
HTL0108,Serena_108,Faisalabad,KPK,25.1238,73.5864,2022,9,89.5,13109,171,153,Business,Booking.com,80,8,2.7,2005677,11,142
HTL0109,Pearl Continental_109,Quetta,Balochistan,24.621,68.6,2022,7,40.4,22674,104,42,Business,Walk-in,29,15,3.2,952308,3,39
HTL0110,Avari_110,Rawalpindi,Islamabad Capital Territory,36.2724,67.094,2024,7,31.7,21046,123,39,Business,Walk-in,123,13,4.6,820794,24,15
HTL0111,Pearl Continental_111,Islamabad,Islamabad Capital Territory,28.2057,61.5911,2020,3,17.0,20238,106,18,Business,Walk-in,121,18,3.9,364284,6,12
HTL0112,Hotel One_112,Lahore,Balochistan,30.6044,60.4526,2022,6,28.6,23292,56,16,Tour Group,Website,21,8,4.2,372672,3,13
HTL0113,Ramada_113,Rawalpindi,Balochistan,25.131,65.4394,2025,1,96.9,9479,131,127,Individual,Airbnb,126,13,4.1,1203833,74,53
HTL0114,Beach Luxury_114,Islamabad,Islamabad Capital Territory,30.0811,69.132,2022,6,81.0,10006,142,115,Individual,Airbnb,38,10,3.0,1150690,109,6
HTL0115,Serena_115,Rawalpindi,KPK,34.1261,68.0294,2021,5,25.1,7193,239,60,Family,Travel Agency,126,21,3.4,431580,49,11
HTL0116,Beach Luxury_116,Quetta,Islamabad Capital Territory,24.4856,60.2357,2021,8,39.9,15368,243,97,Business,Booking.com,132,26,4.2,1490696,89,8
HTL0117,Faletti's_117,Islamabad,Islamabad Capital Territory,35.7256,63.9827,2022,8,55.9,3096,179,100,Business,Travel Agency,83,22,4.0,309600,21,79
HTL0118,Hotel One_118,Faisalabad,KPK,34.3837,63.8906,2024,12,34.9,22438,169,59,Tour Group,Airbnb,27,28,4.9,1323842,41,18
HTL0119,Beach Luxury_119,Faisalabad,KPK,30.745,62.4559,2020,9,55.7,19539,192,107,Business,Airbnb,130,22,3.3,2090673,50,57
HTL0120,Marriott_120,Karachi,Balochistan,30.1046,65.3331,2024,11,22.3,23496,251,56,Family,Walk-in,137,26,5.0,1315776,11,45
HTL0121,Beach Luxury_121,Multan,Punjab,27.3043,63.2911,2021,1,32.5,21605,191,62,Individual,Airbnb,35,26,2.6,1339510,11,51
HTL0122,Ramada_122,Peshawar,Islamabad Capital Territory,25.297,66.9426,2020,3,54.9,10633,226,124,Family,Travel Agency,150,27,3.3,1318492,39,85
HTL0123,Beach Luxury_123,Peshawar,Sindh,26.8098,73.8903,2024,1,55.6,6000,133,74,Individual,Website,55,11,4.6,444000,15,59
HTL0124,Faletti's_124,Multan,Islamabad Capital Territory,25.3521,66.0854,2025,4,94.9,24903,136,129,Business,Website,43,14,3.4,3212487,54,75
HTL0125,Avari_125,Faisalabad,Balochistan,36.7618,65.2186,2023,5,96.4,12707,55,53,Tour Group,Website,23,25,2.8,673471,38,15
HTL0126,Marriott_126,Peshawar,Sindh,33.43,61.5992,2022,4,35.8,14533,293,105,Individual,Travel Agency,114,20,5.0,1525965,35,70
HTL0127,Beach Luxury_127,Rawalpindi,Balochistan,24.1657,60.909,2025,7,56.2,16870,96,54,Family,Walk-in,98,29,4.8,910980,38,16
HTL0128,Faletti's_128,Multan,KPK,24.9227,69.8828,2024,5,61.5,14723,275,169,Business,Walk-in,10,18,4.4,2488187,0,169
HTL0129,Avari_129,Karachi,Balochistan,27.6562,63.995,2022,12,18.1,24970,216,39,Tour Group,Website,123,12,3.5,973830,2,37
HTL0130,Avari_130,Lahore,Punjab,26.1716,63.7759,2022,10,49.5,18624,277,137,Business,Booking.com,143,19,2.6,2551488,58,79
HTL0131,Faletti's_131,Quetta,Islamabad Capital Territory,36.5896,60.1287,2024,9,46.3,7704,54,25,Business,Website,42,19,2.7,192600,4,21
HTL0132,Avari_132,Multan,KPK,30.8419,67.8805,2024,8,92.9,12520,85,79,Business,Booking.com,106,30,3.6,989080,25,54
HTL0133,Faletti's_133,Quetta,Punjab,35.6008,69.2391,2021,8,33.5,3531,194,65,Family,Booking.com,66,7,3.9,229515,63,2
HTL0134,Ramada_134,Faisalabad,Islamabad Capital Territory,33.1523,63.6184,2021,8,10.8,14945,120,13,Individual,Walk-in,120,8,3.2,194285,0,13
HTL0135,Faletti's_135,Rawalpindi,Punjab,33.8351,70.6839,2020,11,67.3,7176,52,35,Tour Group,Booking.com,73,11,3.5,251160,17,18
HTL0136,Ramada_136,Multan,Punjab,27.1381,73.4832,2020,10,25.1,10581,231,58,Family,Walk-in,36,14,3.5,613698,58,0
HTL0137,Pearl Continental_137,Multan,Balochistan,24.5879,65.0218,2024,6,13.2,8692,91,12,Tour Group,Walk-in,56,13,3.6,104304,2,10
HTL0138,Serena_138,Rawalpindi,Punjab,34.2853,60.5762,2024,6,17.1,10743,287,49,Family,Travel Agency,141,15,3.2,526407,22,27
HTL0139,Pearl Continental_139,Rawalpindi,Islamabad Capital Territory,24.0553,63.5255,2024,2,65.0,23084,180,117,Family,Website,65,12,2.7,2700828,15,102
HTL0140,Beach Luxury_140,Multan,Sindh,28.1193,62.5135,2022,12,34.8,9815,112,39,Tour Group,Website,41,18,3.6,382785,15,24
HTL0141,Serena_141,Rawalpindi,Sindh,32.6779,61.6085,2021,6,4.4,19324,114,5,Individual,Website,144,22,3.2,96620,0,5
HTL0142,Pearl Continental_142,Peshawar,Sindh,34.2024,73.8374,2022,5,94.4,14496,142,134,Individual,Walk-in,25,19,4.5,1942464,129,5
HTL0143,Avari_143,Faisalabad,Balochistan,33.1986,67.0706,2025,2,59.2,10556,174,103,Family,Booking.com,21,15,3.1,1087268,44,59
HTL0144,Ramada_144,Faisalabad,KPK,36.259,64.0056,2024,3,13.9,22746,187,26,Tour Group,Travel Agency,78,28,3.9,591396,24,2
HTL0145,Marriott_145,Rawalpindi,Balochistan,29.2681,71.5598,2024,9,23.4,22445,269,63,Individual,Website,109,26,3.4,1414035,43,20
HTL0146,Serena_146,Multan,Punjab,36.404,71.1401,2021,5,41.1,14007,129,53,Tour Group,Airbnb,11,24,3.3,742371,5,48
HTL0147,Avari_147,Islamabad,KPK,25.4156,63.0201,2023,6,67.9,17477,246,167,Individual,Booking.com,38,22,4.6,2918659,4,163
HTL0148,Beach Luxury_148,Multan,Punjab,27.012,68.3201,2022,3,43.8,23886,32,14,Business,Travel Agency,24,9,2.5,334404,11,3
HTL0149,Avari_149,Peshawar,KPK,31.5307,73.7118,2024,11,58.6,16644,191,112,Tour Group,Airbnb,138,24,2.7,1864128,2,110
HTL0150,Faletti's_150,Lahore,Balochistan,31.4977,66.3544,2021,5,24.8,21108,141,35,Tour Group,Airbnb,41,9,5.0,738780,14,21
HTL0151,Serena_151,Karachi,Punjab,34.985,62.896,2022,1,40.4,14768,223,90,Business,Airbnb,28,6,4.7,1329120,47,43
HTL0152,Ramada_152,Karachi,Sindh,26.73,69.1905,2024,12,10.9,8400,119,13,Family,Booking.com,63,21,4.5,109200,3,10
HTL0153,Marriott_153,Lahore,Punjab,33.5931,65.4631,2024,4,16.7,17517,216,36,Tour Group,Website,48,19,3.1,630612,23,13
HTL0154,Beach Luxury_154,Faisalabad,Islamabad Capital Territory,27.9372,66.8556,2025,5,48.1,3215,268,129,Family,Booking.com,78,15,2.7,414735,75,54
HTL0155,Marriott_155,Faisalabad,Sindh,24.0741,66.2323,2024,2,10.5,20250,124,13,Individual,Airbnb,67,16,2.7,263250,12,1
HTL0156,Hotel One_156,Faisalabad,Balochistan,33.7513,64.5865,2020,3,40.0,11545,55,22,Family,Travel Agency,131,8,2.8,253990,22,0
HTL0157,Serena_157,Islamabad,KPK,28.4393,61.4184,2024,3,63.6,24564,165,105,Individual,Travel Agency,75,11,3.9,2579220,7,98
HTL0158,Beach Luxury_158,Karachi,Balochistan,34.8429,74.8771,2020,12,57.4,5831,54,31,Individual,Travel Agency,36,16,2.7,180761,15,16
HTL0159,Pearl Continental_159,Multan,Islamabad Capital Territory,26.4765,69.7862,2021,5,19.8,13377,268,53,Individual,Travel Agency,125,28,3.6,708981,18,35
HTL0160,Avari_160,Rawalpindi,KPK,35.3668,66.2669,2020,1,10.3,19522,224,23,Tour Group,Booking.com,69,24,2.7,449006,0,23
HTL0161,Beach Luxury_161,Lahore,Punjab,24.6555,74.4287,2022,11,78.7,13437,141,111,Tour Group,Walk-in,144,17,4.1,1491507,63,48
HTL0162,Avari_162,Rawalpindi,Balochistan,34.0558,60.3056,2024,6,4.4,17794,229,10,Family,Travel Agency,136,6,4.9,177940,8,2
HTL0163,Hotel One_163,Peshawar,Sindh,33.7525,70.8519,2022,2,60.4,13264,53,32,Business,Website,107,8,4.5,424448,3,29
HTL0164,Pearl Continental_164,Faisalabad,KPK,27.5711,68.6656,2020,10,16.7,6559,42,7,Individual,Travel Agency,131,22,3.5,45913,4,3
HTL0165,Pearl Continental_165,Rawalpindi,Punjab,33.0687,71.3386,2023,3,72.2,12804,97,70,Tour Group,Booking.com,45,9,3.5,896280,22,48
HTL0166,Ramada_166,Islamabad,Sindh,28.1556,69.1319,2025,1,32.7,18639,165,54,Business,Booking.com,49,10,3.9,1006506,17,37
HTL0167,Hotel One_167,Lahore,Punjab,29.9026,74.5113,2023,1,41.0,11336,134,55,Business,Website,100,15,3.0,623480,31,24
HTL0168,Ramada_168,Quetta,KPK,28.9824,71.1607,2023,10,86.1,11464,79,68,Individual,Walk-in,135,16,3.5,779552,38,30
HTL0169,Marriott_169,Peshawar,Balochistan,32.2343,60.2504,2024,1,75.4,23876,236,178,Tour Group,Walk-in,124,22,4.9,4249928,130,48
HTL0170,Ramada_170,Rawalpindi,Balochistan,26.5985,67.0917,2021,3,81.2,3574,80,65,Tour Group,Airbnb,63,18,3.1,232310,52,13
HTL0171,Serena_171,Multan,KPK,32.8867,61.9417,2024,2,12.3,14821,292,36,Business,Website,137,19,4.1,533556,2,34
HTL0172,Ramada_172,Quetta,Punjab,32.4163,63.5238,2021,12,68.6,7228,264,181,Individual,Booking.com,101,14,4.0,1308268,98,83
HTL0173,Beach Luxury_173,Multan,Balochistan,31.16,70.3295,2020,7,15.6,4158,90,14,Tour Group,Booking.com,143,26,4.7,58212,1,13
HTL0174,Serena_174,Multan,Punjab,32.8114,69.3432,2023,12,34.3,6760,137,47,Business,Travel Agency,29,20,3.2,317720,31,16
HTL0175,Beach Luxury_175,Karachi,Balochistan,26.3055,64.2451,2023,7,80.0,12000,30,24,Individual,Website,92,9,3.2,288000,3,21
HTL0176,Serena_176,Quetta,Punjab,26.7867,67.8265,2021,4,50.9,11785,228,116,Family,Travel Agency,75,29,3.8,1367060,62,54
HTL0177,Faletti's_177,Peshawar,KPK,29.9168,72.354,2022,12,22.9,11225,70,16,Business,Booking.com,113,13,3.8,179600,12,4
HTL0178,Serena_178,Quetta,Sindh,34.2054,62.6406,2022,3,14.4,24044,215,31,Family,Travel Agency,44,18,2.7,745364,7,24
HTL0179,Serena_179,Lahore,Sindh,30.9062,65.4628,2023,12,67.9,8320,84,57,Tour Group,Walk-in,143,8,2.9,474240,18,39
